 ,Area,Major,Minor,Angle
1,3453.769,72.067,61.020,81.884
2,1775.302,57.896,39.042,154.590
3,3322.574,70.622,59.902,29.280
4,1788.838,53.234,42.785,166.491
5,289.463,20.143,18.297,173.309
6,2319.867,62.738,47.080,53.086
7,1979.384,53.062,47.496,97.705
8,2619.742,60.225,55.385,17.572
9,1965.848,52.256,47.899,25.280
10,2735.319,65.207,53.410,165.851
11,1998.126,53.499,47.554,22.234
12,3381.924,82.309,52.315,37.867
13,1325.489,45.905,36.764,172.580
14,2610.371,67.099,49.533,111.298
15,1847.147,50.509,46.563,11.823
16,4070.179,80.513,64.366,76.415
17,251.978,20.166,15.909,43.716
18,2030.404,56.202,45.998,171.040
19,2229.279,57.712,49.182,37.947
20,2246.980,59.782,47.857,121.304
21,1250.521,47.975,33.188,165.471
22,1842.982,54.288,43.224,147.996
23,2747.813,74.067,47.236,62.167
24,1862.766,53.945,43.966,38.128
25,2165.764,61.563,44.792,178.989
26,1794.044,51.370,44.466,172.029
27,3140.358,81.922,48.808,39.779
28,3757.809,70.543,67.826,18.637
29,3001.874,63.108,60.565,125.871
30,3115.369,68.954,57.525,24.126
31,1753.436,51.398,43.437,172.911
32,1987.713,59.430,42.585,145.239
33,235.319,17.976,16.668,87.134
34,2243.857,62.379,45.800,56.611
35,3401.708,74.003,58.527,174.497
36,1960.641,53.357,46.786,105.517
37,2591.628,60.124,54.882,24.458
38,1934.611,51.547,47.786,19.001
39,2786.339,65.154,54.451,167.380
40,1978.342,52.812,47.696,28.403
41,3405.873,81.988,52.892,38.135
42,1406.706,46.880,38.205,173.811
43,2731.154,68.852,50.506,111.434
44,1981.466,52.195,48.335,9.233
45,4483.549,85.645,66.655,81.277
46,2279.259,55.388,52.395,1.607
47,1378.592,47.003,37.344,4.577
48,2118.909,61.912,43.576,36.542
49,2349.021,61.410,48.704,117.291
50,4634.527,78.730,74.951,132.826
51,1886.714,54.534,44.050,149.359
52,1929.404,55.808,44.018,2.748
53,3952.520,77.548,64.896,150.319
54,2242.815,60.705,47.042,134.112
55,795.502,34.784,29.118,135.614
56,2623.907,75.293,44.372,83.673
57,2283.424,64.154,45.318,29.161
58,1621.200,51.099,40.395,172.579
59,7254.269,106.299,86.891,169.810
60,633.070,32.789,24.583,0.258
61,2592.670,62.432,52.875,155.449
62,2615.577,74.994,44.407,49.484
63,3057.060,86.546,44.975,106.487
64,3968.138,98.549,51.268,99.306
65,4416.910,79.709,70.554,139.221
66,1583.715,46.580,43.290,38.555
67,2821.741,74.411,48.282,0.526
68,1867.972,67.048,35.472,98.111
69,1683.673,52.195,41.071,69.126
70,2370.887,66.234,45.577,11.325
71,1996.043,57.049,44.548,137.226
72,3208.038,68.015,60.055,173.751
73,3117.451,69.009,57.518,6.427
74,2506.247,60.423,52.812,172.935
75,1637.859,52.721,39.555,110.748
76,2274.052,58.928,49.135,125.787
77,1482.716,49.879,37.849,168.522
78,2154.311,57.224,47.933,23.976
79,1165.140,41.095,36.099,64.277
80,1618.076,52.999,38.873,87.274
81,2224.073,58.993,48.002,143.749
82,566.431,29.369,24.557,108.996
83,1290.087,47.907,34.287,2.264
84,1659.725,50.636,41.734,33.354
85,1852.353,59.092,39.912,1.739
86,2450.021,60.332,51.705,77.555
87,1840.900,58.075,40.360,179.937
88,3033.111,76.030,50.794,135.624
89,2512.495,62.720,51.004,42.444
90,1362.974,50.089,34.646,82.568
91,2887.339,85.014,43.243,160.300
92,2210.537,58.294,48.282,14.116
93,3726.572,95.875,49.489,169.129
94,3391.295,100.964,42.767,163.955
95,2295.918,63.078,46.343,107.676
96,1475.427,52.869,35.532,15.940
97,1814.869,49.418,46.760,162.671
98,2698.875,68.718,50.006,3.582
99,1696.168,49.136,43.952,138.671
100,2183.465,57.097,48.691,72.328
101,1895.044,60.466,39.904,93.932
102,2199.084,60.697,46.130,17.955
103,2552.062,61.140,53.147,97.260
104,1290.087,43.816,37.489,157.224
105,359.225,25.347,18.045,131.839
106,2590.587,69.790,47.262,126.691
107,3031.029,82.100,47.006,98.046
108,2017.909,54.651,47.013,154.835
109,2612.453,60.344,55.122,24.913
110,2849.854,66.390,54.655,57.613
111,1526.447,45.826,42.411,69.286
112,2416.701,57.607,53.414,163.168
113,2462.516,61.139,51.283,15.708
114,3671.387,80.171,58.307,80.318
115,3249.688,77.980,53.060,124.727
116,2701.999,60.940,56.454,37.498
117,2594.752,65.143,50.715,164.257
118,1728.446,51.002,43.150,149.991
119,2629.113,61.823,54.146,175.078
120,2139.733,52.958,51.444,35.348
121,2165.764,57.480,47.974,153.187
122,1645.148,50.922,41.135,164.900
123,1753.436,51.333,43.491,161.350
124,3443.357,80.015,54.793,26.788
125,590.379,35.182,21.366,146.549
126,2120.991,55.137,48.979,144.775
127,3557.893,72.744,62.274,154.471
128,224.906,18.413,15.552,58.874
129,1822.157,52.614,44.096,44.130
130,1899.209,54.199,44.616,170.177
131,210.329,19.118,14.008,124.350
132,1928.363,53.169,46.178,161.108
133,2035.610,54.926,47.187,33.714
134,1954.394,54.356,45.780,148.605
135,1379.633,43.717,40.181,138.443
136,3217.409,69.775,58.710,18.362
137,2041.858,57.512,45.204,118.205
138,3190.337,69.659,58.314,178.550
139,2379.217,66.029,45.878,140.452
140,1847.147,52.594,44.717,51.072
141,2896.710,79.675,46.291,4.158
142,3539.150,70.708,63.729,55.776
143,1350.479,44.265,38.845,0.993
144,2044.981,61.751,42.165,141.088
145,727.822,46.834,19.787,9.296
146,1285.923,44.725,36.608,91.642
147,529.988,35.607,18.951,167.136
148,1344.232,45.362,37.731,139.208
149,2115.785,58.410,46.121,74.407
150,1612.870,50.963,40.296,171.808
151,1946.064,60.165,41.184,89.851
152,2880.050,72.504,50.577,166.936
153,1799.250,51.971,44.080,109.335
154,2370.887,65.910,45.800,136.652
155,1362.974,48.260,35.959,176.180
156,1972.095,54.218,46.312,57.476
157,2870.679,70.257,52.024,63.690
158,1933.569,57.677,42.684,172.557
159,987.089,40.116,31.329,53.947
160,2086.631,58.467,45.441,97.204
161,2478.134,63.188,49.934,47.893
162,2555.185,66.223,49.128,40.368
163,2840.483,62.893,57.504,172.690
164,4989.588,103.959,61.110,121.396
165,1043.315,39.277,33.821,57.713
166,2040.816,58.454,44.453,33.214
167,2048.105,64.076,40.697,99.617
168,2218.867,54.605,51.738,108.986
169,1950.229,51.840,47.900,165.066
170,1083.923,44.342,31.124,95.877
171,2726.989,65.743,52.813,86.968
172,2583.299,75.483,43.575,47.573
173,5231.154,88.298,75.432,103.710
174,3767.180,73.745,65.042,143.250
175,4006.664,81.558,62.550,130.675
176,4174.302,75.052,70.816,96.599
177,2595.793,65.056,50.804,111.329
178,4677.218,102.299,58.214,49.991
179,2346.939,67.141,44.507,143.303
180,2845.689,65.785,55.077,124.170
181,2029.363,52.603,49.120,32.529
182,2555.185,63.665,51.101,74.921
183,2367.763,55.667,54.156,172.520
184,2016.868,53.940,47.607,68.360
185,3140.358,80.127,49.901,122.761
186,2067.888,62.011,42.459,16.444
187,2446.897,65.415,47.627,93.916
188,125.989,14.781,10.852,21.605
189,3299.667,73.105,57.469,137.382
190,8182.007,123.139,84.601,167.166
191,810.079,35.828,28.788,157.373
192,2049.146,58.724,44.429,111.232
193,1668.055,51.916,40.909,87.586
194,3770.304,82.141,58.442,103.347
195,1295.294,46.670,35.338,130.556
196,1798.209,54.188,42.252,113.314
197,3708.871,81.571,57.891,103.057
198,3889.005,78.430,63.135,116.060
199,1921.075,62.848,38.919,87.515
200,1726.364,50.933,43.156,108.058
201,1492.087,47.324,40.144,121.891
202,2294.877,59.661,48.976,137.716
203,944.398,39.815,30.200,158.616
204,2462.516,71.835,43.647,165.394
205,8119.534,101.748,101.605,109.620
206,3917.118,76.818,64.926,179.150
207,1597.251,46.878,43.382,81.468
208,5094.752,84.588,76.687,151.022
209,4334.652,89.186,61.883,110.414
210,1965.848,60.265,41.533,44.223
211,2034.569,53.167,48.723,7.302
212,3486.047,78.674,56.418,39.860
213,291.545,21.367,17.373,172.768
214,7746.772,121.113,81.441,166.707
215,5632.028,94.109,76.198,135.163
216,3365.264,77.530,55.266,39.398
217,1411.912,51.695,34.775,77.280
218,3138.276,78.810,50.701,138.005
219,3570.387,79.559,57.139,101.537
220,3252.811,72.281,57.299,66.655
221,2787.380,78.349,45.297,80.141
222,2723.865,67.745,51.194,91.866
223,2056.435,57.208,45.769,73.602
224,4527.280,81.147,71.035,68.938
225,3163.265,69.339,58.086,115.104
226,1167.222,42.415,35.038,111.953
227,3546.439,73.753,61.224,23.585
228,5402.957,93.170,73.836,115.539
229,2701.999,64.154,53.625,54.946
230,1533.736,46.607,41.899,15.359
231,3120.575,69.011,57.574,143.289
232,4247.189,87.028,62.138,145.509
233,163.474,15.992,13.015,9.896
234,3132.028,70.051,56.927,117.900
235,79.134,39.467,2.553,0.716
236,2043.940,58.783,44.272,19.564
237,1621.200,46.217,44.663,78.667
238,3618.284,80.984,56.887,148.751
239,2914.411,68.977,53.796,53.480
240,175.968,17.547,12.768,24.535
241,1847.147,59.186,39.737,111.466
242,3310.079,72.643,58.017,38.558
243,2784.257,64.337,55.101,155.449
244,1931.487,50.185,49.004,117.183
245,1869.013,50.671,46.964,11.413
246,2161.599,58.439,47.096,104.276
247,1182.840,50.199,30.002,67.048
248,3617.243,74.545,61.783,94.104
249,2520.825,61.677,52.039,91.931
250,4721.991,83.692,71.837,104.766
251,2061.641,59.581,44.057,65.045
252,3290.296,69.566,60.221,131.356
253,2687.422,74.009,46.234,162.249
254,2303.207,65.036,45.091,10.754
255,8906.706,107.991,105.012,121.416
256,4171.179,77.981,68.105,178.051
257,5618.492,89.245,80.158,142.954
258,1932.528,52.047,47.276,173.635
259,2099.125,64.790,41.252,43.579
260,3064.348,66.422,58.740,115.123
261,4130.571,86.588,60.738,111.495
262,3439.192,76.977,56.886,40.389
263,4171.179,80.909,65.640,149.819
264,3002.915,65.636,58.252,130.542
265,2537.484,64.578,50.030,1.737
266,1803.415,54.001,42.521,69.332
267,3006.039,71.716,53.369,111.727
268,3697.418,80.452,58.516,60.673
269,2657.226,71.570,47.272,4.001
270,1276.551,52.494,30.963,65.569
271,2761.349,63.363,55.487,153.511
272,1566.014,47.691,41.809,46.721
